het bed, de bedden
de maan, de manen
de vrouw, de vrouwen
de kerk, de kerken
de boom, de bomen
de dag, de dagen
de weg, de wegen
het pad, de paden
het spel, de spelen
het gat, het gaten
de brief, de brieven
de neef, de neven
de fuif, de fuiven
het graf, de graven
de muis, de muizen
het glas, de glazen
de neus, de neuzen
de vaas, de vazen
de korf, de korven
de wolf, de wolven
de hals, de halzen
de laars, de laarzen
de gems, de gemzen
de gans, de ganzen
de fotograaf, de fotografen
de filosoof, de filosofen
de mens, de mensen
de impuls, de impulsen
de kers, de kersen
# unregelmäßig en
de maan, de manen
de man, de mannen
de deen, de denen
de den, de dennen
de boom, de bomen
de bom, de bommen
de vloot, de vloten
de vlot, de vlotten
de naam, de namen
het raam, de ramen
de Amerikaan, de Amerikanen
de daad, de daden
de tomaat, de tomaten
het apparaat, de apparaten
de taak, de taken
de blaar, de blaren
de leraar, de leraren
het gevaar, de gevaren
de schaar, de scharen
de aap, de apen
het schaap, de schapen
de kraan, de kranen
de staat, de staten
de zwaan, de zwanen
het kanaal, de kanelen
het verhaal, de verhalen
de vraag, de vragen
het ideaal, de idealen
het jaar, de jaren
het probleem, de problemen
het been, de benen
de teen, de tenen
de baksteen, de bakstenen
de dobbelsteen, de dobblstenen
de keet, de keten
de preek, de preken
het juweel, de juwelen
de crimineel, de criminelen
het oog, de ogen
de elleboog, de ellebogen
de gladiool, de gladiolen
het oor, de oren
de droom, de dromen
het brood, de broden
het spoor, de sporen
de noot, de noten
de poot, de poten
het uur, de uren
de schuur, de schuren
de minuut, de minuten
# en plural für wörter mit ee und ie
de orchidee, de orchideeën
het idee, de ideeën
de calorie, de calorien
de kopie, de kopieën
de knie, de knieën
de olie, de oliën
# eren plural
het kind, de kinderen
het ei, de eieren
het blad, de bladeren
het rad, de raderen
het kalf, de kalveren
het lam, de lammeren
het volk, de volkeren
het lied, de liederen
het rund, de runderen
het been, de beenderen
het bot, de botten
# plural mit umlautanpassung
de stad, de steden
de smid, de smeden
het schip, de schepen
het lid, de leden
het bad, de baden
het pad, de paden
de pad, de padden (toads, a froglike creature)
het dal, de dalen
het dak, de daken
de dag, de dagen
het dagje, de daagjes
de slag, de slagen
de vlag, de vlaggen
het verdrag, de verdragen
het bedrag, de bedragen
het graf, de graven
het gebed, de gebeden
het gebod, de geboden
# s ohne apostroph
de enkel, de enkels
de vogel, de vogels
de merel, de merels
de lepel, de lepels
de tafel, de tafels
de stapel, de stapels
de heuvel, de heuvels
de tegel, de tegels
de regel, de regels
de winkel, de winkels
de wortel, de wortels
de appel, de appels
de sinaasappel, de sinaasappels
de tunnel, de tunnels
de druppel, de druppels
de bijpel, de bijpels
de bezem, de bezems
de bliksem, de bliksems
de molen, de molens
het kussen, de kussens
het gegeven, de gegevens
de jongen, de jongens
de toren, de torens
de anjer, de anjers
de Nederlander, de Nederlanders
de buitenlander, de buitenlanders
de polder, de polders
de kraker, de krakers
de suiker, de suikers
de vinger, de vingers
de schouder, de schouders
de emmer, de emmers
de meter, de meters
de veter, de veters
het cijfer, de cijfers
de koffer, de koffers
de klinker, de klinkers
de ooievaar, de ooievaars
de geranium, de geraniums
de lelie, de lelies
# s mit apostroph
de medeklinker, de medeklinkers
de paprika, de paprika's
de camera, de camera's
de kolibri, de kolibri's
de auto, de auto's
de foto, de foto's
de kilo, de kilo's
het risico, de risico's
de paraplu, de paraplu's
#ausnahmen
de tabel, de tabellen
de kabel, de kabels
het toestel, de toestellen
de rebel, de rebellen
het loket, de loketten
de raket, de raketten (ausnahme)
de kroket, de kroketten
de lerares, de leraressen
de zangeres, de zangeressen
het hotel, de hotels
het gevoel, de gevoelens
het excuus, de excuses
de kraai, de kraaien
de haai, de haaien
de koe, de koeien
de vlo, de vlooien
de dinosaurus, de sauriërs 
