oud, alt
de postcode/het postnummer, Postleitzahl
het landnummer, Ländercode
het netnummer/het zonenummer, Vorwahl
de vaste lijn, Festnetz
mobiel, mobil
het abonneenummer, Teilnehmernummer
het alarmnummer, Notrufnummer
het jaar, Jahr
slecht, schlecht
er is/zijn, es gibt
hoeveel, wie viel(-e)
de vrouw, Frau
willen, wollen
volgen, besuchen / absolvieren
het inschrijfformulier, Anmeldeformular
de voorletter, Anfangsbuchstabe des Vornamens
het geslacht, Geschlecht
de straat, Straße
het huisnummer, Hausnummer
de toevoeging, Zusatz
de plaats, Ort/Stelle
de leeftijdsgroep, Altersgruppe
tot en met (t/m), bis einschließlich
de telefoon, Telefon
privé, privat
het werk, Arbeit
het e-mailadres, E-Mail-Adresse
het rekeningnummer, Kontonummer
het bedrag, Betrag
de datum, Datum
de handtekening, Unterschrift
wanneer, wann
iemand / tegen iemand, jemand / zu jemandem
discussiéren, diskutieren
opvallen, auffallen
de ouders, Eltern
de leraar, Lehrer
de onbekende, Unbekannte(-r)
de generatie, Generation
jong, jung
de afspraak, Verabredung
het café, Café
de e-mail, E-Mail
staan, stehen
erin, darin
hierop, darauf
aan, an
het onderwerp, Thema/Betreff
bevallen, gefallen
vinden / vinden, finden / halten 
van, von
dat, dass
weer / alweer, wieder / schon wieder
de week, Woche
graag, gern
laten zien, zeigen
het moment / op dit moment, Moment / im Moment 
het druk hebben, viel zu tun haben
de voorbereiding, Vorbereitung
Sinterklaas, Nikolaus
over twee weken, in zwei Wochen
de december, Dezember
moeten, müssen
de suprise, Überraschung
maken, machen / tun
de baan, Arbeitsstelle / Job
het stadhuis, Rathaus
kloppen / klopt dat?, stimmen / Stimmt das?
eens, einmal
de koffie, Kaffee
drinken, trinken
helaas, leider
op 3 december, am 3 Dezember
's middags, mittags/nachmittags
stoppen, aufhören
ineens, auf einmal
zin hebben in, Lust haben auf
laten, lassen
snel, schnell
iets, etwas
horen, hören
Groetjes, (Viele) Grüße
gelijk hebben, Recht haben
het mailtje, E-Mail
aardig, nett
zijn best doen, sein Bestes tun
vrij, ziemlich
blij, froh
eindelijk, endlich
gelukkig, glücklich / glücklicherweise
klaar, fertig
het gedicht, Gedicht
voor, für / vor
natuurlijk, natürlich
wat, etwas
afspreken, sich verabreden
om 3 uur, um 3:00 Uhr / um 15:00 Uhr
het adres, Adresse
ook al weer, auch schon weider
vergeten, vergessen
sms´en, eine SMS schreiben
laat, spät 
gezellig, gesellig / gemütlich
zich verheugen op, sich freuen auf
erg, sehr
de groeten doen aan, jemanden grüßen
liefs, liebe Grüße
fout, falsch
aankruisen, ankreuzen
net, gerade
het vriendje, (fester) Freund
de fiets, Fahrrad
het vakantiehuis / het vakantihuisje, Ferienhaus / Ferienhäuschen
geven ,geben / schenken
geen, kein(-e)
het idee, Idee
kapot, kaputt
opruimen, aufräumen
zich amuseren, sich amüsieren
scheidbaar, trennbar
onscheidbaar, untrennbar
beantwoorden, beatnworten
opstaan, aufstehen
de vorm, Form
zich schamen, sich schämen
want, denn
opbellen, anrufen
weten, wissen
wassen, waschen/putzen
het poesje, Kätzchen
grondig, gründlich
aankleden, anziehen
het gebruik, Verwendung
de gebeurtenis, Ereignis
de toekomst, Zukunft
morgen, morgen
overmorgen, übermorgen
volgend, nächste(-r/-s)
samen, zusammen
het plan, Plan
