de aankomst, Ankunft
in, in
Nederland, Niederlande
bekijken, ansehen
de foto/de foto's, Foto/Fotos
en, und
luisteren/luisteren naar, hören/anhören
de dialoog/de dialogen, Dialog/Dialoge
waroover, worüber
praten, reden
de mens/de mensen, Mensch/Menschen
welk(-e), welche(-r/ -s)
de zin, satz
horen bij, gehören zu
welkom, willkommen
nemen, nehmen
de koffer, Koffer
hoor, Interjektion
komen, kommen
gaan, gehen
naar huis, nach Hause
leuk, schön/nett
te, zu
leren, lernen
kennen, kennen
Dag!, (Guten) Tag!
allemaal, alle/alles/allerseits
lezen/meelezen, lesen/mitlesen
daarna, danach
hardop, laut
Hé!, He!
de lieverd, Liebling
Hallo!, Hallo!
fijn/wat fijn, toll/wie toll!
weerzien, wiedersehen
Dank je wel., Danke.(informell)
Hoi!, Hi!
zijn, sein
de vriendin, Freundin
van, von
hier, hier
de vakantie, Urlaub
op vakantie, im/in den Urlaub
heten, heißen
waar...vandaan, woher
uit, aus
Zwitserland, Schweiz
wonen, wohnen
de buurt, Nähe
in de buurt van, in der Nähe von
pap, Papa
terug, zurück
heel, sehr
moe, müde
ja, ja
Goedemiddag!, Guten Tag!
meneer, Her(Anrede)
wie, wer
Dank u wel., Danke.(formell)
nog, noch
nog eens, noch einmal
de vraag, Frage
de vragen, Fragen
het antwoord, Antwort
de antwoorden, Antworten
elkaar, einander
bij elkaar, zueinander
waar, wo
hoe, wie
mevrouw, Frau(Anrede)
de cursus, Kurs
lopen, laufen
rondlopen, herumlaufen
beter, besser
het persoonlijk voornaamwoord/ de persoonlijke voornaamwoorden, Personalpronomen
invullen, ausfüllen
juist, richtig
met, mit
de trein, Zug
werken, arbeiten
daar, dort/da
bij, bei
de bank, Bank
maar, aber
vaak, oft
België, Belgien
hebben, haben
de vriend, Freund
zitten, sitzen
tegenover, gegenüber
lang, lang/lange
dan, dann
altijd, immer
slapen, schlafen
spreken, sprechen
spreken, aussprechen
verdelen, verteilen
de lettergreep, Silbe
de lettergrepen, Silben
de spelling, Rechtschreibung
open, offen
gesloten, geschlossen
nu, jetzt
de tabel, Tabelle
de opdracht, Aufgabe
volledig, vollständig/komplett
onregelmatig, unregelmäßig
kunnen, können
even, mal/gerade/kurz
spellen, buchstabieren
het alfabet, Alphabet
zeggen, sagen
nazeggen, nachsprechen
de voornaam, Vorname
de achternaam, Nachname
de umlaut, Umlaut
de ringel-s, Eszett
dubbel, doppelt
het streepje, Bindestrich
Nederlands, niederländisch
Vlaams, flämisch
de familienaam, Familienname
de familienamen, Familiennamen
het tussenvoegsel, Namenszusatz
de tussenvoegels, Namenszusätze
de naam, Name
bedankt, danke
volgend, folgend
de afkorting, Abkürzung
de afkortingen, Abkürzungen
wat, was
mogen, dürfen
voorstellen, vorstellen
Goedemorgen!, Guten Morgen!
Goedenavond!, Guten Abend!
Doei!, Tschüss!
Tot ziens!, Auf Wiedersehen!
Welterusten!, Gute Nacht!
Slaap lekker!, Schlaf gut!
aanvullen, ergänzen
de collega, Kollege/Kollegin
hartelijk, herzlich
Vlaanderen, Flandern
de medecursist, anderer Kursteilnehmer
de medecursisten, andere Kursteilnehmer
onthouden, merken
alles, alles
op, auf
het rijtje, Reihe
goed, gut/richtig
hartstikke, sehr
Het gaat wel., Es gehtso.
het beetje, bisschen
verkouden, erkältet
het woord, Wort
niet, nicht
betekenen, bedeuten
ziek, krank
vervelend, unangenehm/ärgerlich
toch, trotzdem
naar, nach/zu/in
zo, so
erg, schlimm
binnen, drinnen/innerhalb/herein
prima, prima
uitstekend, hervorragend
het spijt me., Es tut mir leid.
het boek, Buch
liggen, liegen
thuis, zu Hause
best, gut
afhebben, fertig haben
wel, wohl/schon
het huiswerk, Hausaufgaben
beginnen, beginnen
kijken, schauen

de pagina, Seite
over het huiswerk, zu den Hausaufgaben
doen, machen/tun
de les, Unterricht/Lektion
het plaatje, Abbildung
schrijven, schreiben
antwoorden, antworten
vragen, fragen
de docent, Dozent/Kursleiter
proberen, probieren
zelf, selbst
Sorry., Entschuldigung.
alstublieft, bitte(formell)
alsjeblieft, bitte(informell)
herhalen, wiederholen
misschien, vielleicht
langzaam, langsam
hard, laut
het bord, Tafel
begrijpen, verstehen
uitleggen, erklären
het Duits, das Deutsche
in het Duits, auf Deutsch
zien, sehen
het lokaal, Raum/Klassenraum
de cd-speler, CD-Player
het etui, Federmappe
de poster, Poster
de tafel, Tisch
de cd, CD
de pen, Stift
de map, Mappe
de tas, Tasche
de stoel, Stuhl
het krijtje, Kreide
meer, mehr
het raam, Fenster
de partner, Partner
onbepaald, unbestimmt
bepaald, bestimmt
het lidwoord/delidwoorden, Artikel
of, oder
de volksuniversiteit, Volkshochschule
als, als/wenn/wie
de auto, Auto
de begroeting, Begrüßung
nieuw, neu
de grammatica, Grammatik
meenemen, mitnehmen
ook, auch
de luisteroefening, Hörübung
de luisteroefeningen, Hörübungen
ieder(-e), jede(-r/s)
het cursusboek, Lehrbuch
het woordenboek, Wörterbuch
het meervoud, Mehrzahl
de taxi, Taxi
de firma, Firma
de student, Student
de baby, Baby
het kind, Kind
de koe, Kuh
de stad, Stadt
de dag, Tag
de boot, Boot
de wisseling, Wechsel
de brief, Brief
het huis, Haus
de fotograaf, Fotograf
de man, Mann
de maan, Mond
de kaas, Käse
de boom, Baum
de bom, Bombe
de dief, Dieb
nee, nein
Beterschap!, Gute Besserung!
het voorwerp, Objekt
de kop/het kopje, Tasse
de thee, Tee
het glas/het glassje, Glas
het getal, Zahl
nul, null
één, eins
twee, zwei
drie, drei
vier, vier
vijf, fünf
zes, sechs
zeven, sieben
acht, acht
negen, neun
tien, zehn
meespreken, mitsprechen
elf, elf
twaalf, zwölf
dertien, dreizehn
veertien, vierzehn
twintig, zwanzig
dertig, dreißig
veertig, vierzig
tachtig, achtzig
hondred, hundert
duizend, tausend
het miljoen, Million
bedenken, ausdenken
het cijfer, Ziffer
opschrijven, aufschreiben
voorlezen, vorlesen
vergelijken, vergleichen
het telefoonnummer, Telefonnummer
oud, alt
de postcode/het postnummer, Postleitzahl
het landnummer, Ländercode
het netnummer/het zonenummer, Vorwahl
de vaste lijn, Festnetz
mobiel, mobil
het abonneenummer, Teilnehmernummer
het alarmnummer, Notrufnummer
het jaar, Jahr
slecht, schlecht
er is/zijn, es gibt
hoeveel, wie viel(-e)
de vrouw, Frau
willen, wollen
volgen, besuchen / absolvieren
het inschrijfformulier, Anmeldeformular
de voorletter, Anfangsbuchstabe des Vornamens
het geslacht, Geschlecht
de straat, Straße
het huisnummer, Hausnummer
de toevoeging, Zusatz
de plaats, Ort/Stelle
de leeftijdsgroep, Altersgruppe
tot en met (t/m), bis einschließlich
de telefoon, Telefon
privé, privat
het werk, Arbeit
het e-mailadres, E-Mail-Adresse
het rekeningnummer, Kontonummer
het bedrag, Betrag
de datum, Datum
de handtekening, Unterschrift
wanneer, wann
iemand / tegen iemand, jemand / zu jemandem
discussiéren, diskutieren
opvallen, auffallen
de ouders, Eltern
de leraar, Lehrer
de onbekende, Unbekannte(-r)
de generatie, Generation
jong, jung
de afspraak, Verabredung
het café, Café
de e-mail, E-Mail
staan, stehen
erin, darin
hierop, darauf
aan, an
het onderwerp, Thema/Betreff
bevallen, gefallen
vinden / vinden, finden / halten 
van, von
dat, dass
weer / alweer, wieder / schon wieder
de week, Woche
graag, gern
laten zien, zeigen
het moment / op dit moment, Moment / im Moment 
het druk hebben, viel zu tun haben
de voorbereiding, Vorbereitung
Sinterklaas, Nikolaus
over twee weken, in zwei Wochen
de december, Dezember
moeten, müssen
de suprise, Überraschung
maken, machen / tun
de baan, Arbeitsstelle / Job
het stadhuis, Rathaus
kloppen / klopt dat?, stimmen / Stimmt das?
eens, einmal
de koffie, Kaffee
drinken, trinken
helaas, leider
op 3 december, am 3 Dezember
's middags, mittags/nachmittags
stoppen, aufhören
ineens, auf einmal
zin hebben in, Lust haben auf
laten, lassen
snel, schnell
iets, etwas
horen, hören
Groetjes, (Viele) Grüße
gelijk hebben, Recht haben
het mailtje, E-Mail
aardig, nett
zijn best doen, sein Bestes tun
vrij, ziemlich
blij, froh
eindelijk, endlich
gelukkig, glücklich / glücklicherweise
klaar, fertig
het gedicht, Gedicht
voor, für / vor
natuurlijk, natürlich
wat, etwas
afspreken, sich verabreden
om 3 uur, um 3:00 Uhr / um 15:00 Uhr
het adres, Adresse
ook al weer, auch schon weider
vergeten, vergessen
sms´en, eine SMS schreiben
laat, spät 
gezellig, gesellig / gemütlich
zich verheugen op, sich freuen auf
erg, sehr
de groeten doen aan, jemanden grüßen
liefs, liebe Grüße
fout, falsch
aankruisen, ankreuzennet, gerade
het vriendje, (fester) Freund
de fiets, Fahrrad
het vakantiehuis / het vakantihuisje, Ferienhaus / Ferienhäuschen
geven ,geben / schenken
geen, kein(-e)
het idee, Idee
kapot, kaputt
opruimen, aufräumen
zich amuseren, sich amüsieren
scheidbaar, trennbar
onscheidbaar, untrennbar
beantwoorden, beatnworten
