de pagina, Seite
over het huiswerk, zu den Hausaufgaben
doen, machen/tun
de les, Unterricht/Lektion
het plaatje, Abbildung
schrijven, schreiben
antwoorden, antworten
vragen, fragen
de docent, Dozent/Kursleiter
proberen, probieren
zelf, selbst
Sorry., Entschuldigung.
alstublieft, bitte(formell)
alsjeblieft, bitte(informell)
herhalen, wiederholen
misschien, vielleicht
langzaam, langsam
hard, laut
het bord, Tafel
begrijpen, verstehen
uitleggen, erklären
het Duits, das Deutsche
in het Duits, auf Deutsch
zien, sehen
het lokaal, Raum/Klassenraum
de cd-speler, CD-Player
het etui, Federmappe
de poster, Poster
de tafel, Tisch
de cd, CD
de pen, Stift
de map, Mappe
de tas, Tasche
de stoel, Stuhl
het krijtje, Kreide
meer, mehr
het raam, Fenster
de partner, Partner
onbepaald, unbestimmt
bepaald, bestimmt
het lidwoord/delidwoorden, Artikel
of, oder
de volksuniversiteit, Volkshochschule
als, als/wenn/wie
de auto, Auto
de begroeting, Begrüßung
nieuw, neu
de grammatica, Grammatik
meenemen, mitnehmen
ook, auch
de luisteroefening, Hörübung
de luisteroefeningen, Hörübungen
ieder(-e), jede(-r/s)
het cursusboek, Lehrbuch
het woordenboek, Wörterbuch
het meervoud, Mehrzahl
de taxi, Taxi
de firma, Firma
de student, Student
de baby, Baby
het kind, Kind
de koe, Kuh
de stad, Stadt
de dag, Tag
de boot, Boot
de wisseling, Wechsel
de brief, Brief
het huis, Haus
de fotograaf, Fotograf
de man, Mann
de maan, Mond
de kaas, Käse
de boom, Baum
de bom, Bombe
de dief, Dieb
nee, nein
Beterschap!, Gute Besserung!
het voorwerp, Objekt
de kop/het kopje, Tasse
de thee, Tee
het glas/het glassje, Glas
het getal, Zahl
nul, null
één, eins
twee, zwei
drie, drei
vier, vier
vijf, fünf
zes, sechs
zeven, sieben
acht, acht
negen, neun
tien, zehn
meespreken, mitsprechen
elf, elf
twaalf, zwölf
dertien, dreizehn
veertien, vierzehn
twintig, zwanzig
dertig, dreißig
veertig, vierzig
tachtig, achtzig
hondred, hundert
duizend, tausend
het miljoen, Million
bedenken, ausdenken
het cijfer, Ziffer
opschrijven, aufschreiben
voorlezen, vorlesen
vergelijken, vergleichen
het telefoonnummer, Telefonnummer
