net, gerade
het vriendje, (fester) Freund
de fiets, Fahrrad
het vakantiehuis / het vakantihuisje, Ferienhaus / Ferienhäuschen
geven ,geben / schenken
geen, kein(-e)
het idee, Idee
kapot, kaputt
opruimen, aufräumen
zich amuseren, sich amüsieren
scheidbaar, trennbar
onscheidbaar, untrennbar
beantwoorden, beatnworten
opstaan, aufstehen
de vorm, Form
zich schamen, sich schämen
want, denn
opbellen, anrufen
weten, wissen
wassen, waschen/putzen
het poesje, Kätzchen
grondig, gründlich
aankleden, anziehen
het gebruik, Verwendung
de gebeurtenis, Ereignis
de toekomst, Zukunft
morgen, morgen
overmorgen, übermorgen
volgend, nächste(-r/-s)
samen, zusammen
het plan, Plan
tien uur, zehn Uhr
vijf over tien, fünf nach zehn
kwart over tien, Viertel nach zehn
half elf, halb elf
vijf over half elf, fünf nach halb elf
kwart voor elf, Viertel vor elf
twee voor elf, zwei (Minuten) vor elf
tien voor half twaalf, zehn (Minuten) vor halb zwölf
de film, Film
de winkel, Geschäft
tot, bis
´s ochtends, morgens / am Morgen
´s morgens, morgens / am Morgen
´s avonds, abends / am Abend
´s nachts, nachts / in der Nacht
vertrekken, abreisen
zetten, setzen / stellen / legen
letten, achten
de volgende, Reihenfolge
de maand, Monat
de januari, Januar
de februari, Februar
de maart, März
de april, April
de mei, Mai
de juni, Juni
de juli, Juli
de augustus, August
de september, September
de oktober, Oktober
de november, November
de december, Dezember
de maandag, Montag
de dinsdag, Dienstag
de woensdag, Mittwoch
de donderdag, Donnerstag
de vrijdag, Freitag
de zaterdag, Samstag
de zondag, Sonntag
in 1975, 1975 / im Jahr 1975
door de week, unter der Woche
het weekend, Wochenende
uitslapen, ausschlafen
geboren, geboren
eten, essen
men, man
de kolom, Spalte
de soep, Suppe
de frisdrank, Erfrischungsgetränk
de tosti ham / kaas, Käse-Schinken-Toast
de koffie verkeerd, Milchkaffee
het bier / biertje, Bier
de uitsmijter, strammer Max
de muntthee, Pfefferminztee
de portie, Portion
de bitterbal, frittierte Bällchen mit Fleischragout
het sinaasappelsap, Orangensaft
de salade / de maaltijdsalade, Salat / Salat als Hauptgericht
de daghap, Tagesgericht
de spa, Mineralwasser
het broodje, Brötchen
de chocomel, Schokoladenmilch
de slagroom, Schlagsahne
de borrel / het borreltje, Schnaps
de pannenkoek, Pfannenkuchen / Eierkuchen
het eten, Essen
de drank, Getränk
warm, warm
koud, kalt
het stuk / het stukje, Stück / Stückchen
de euro, Euro
denken, denken
sturen, schicken
afrekenen, abrechnen / zahlen
