de nicht, Nichte / Cousine
de schoonvader, Schwiegervater
de kleindochter, Enkelin
de zus, Schwester
de vader, Vater
de schoonmoeder, Schwiegermutter
de dochter, Tochter
de schoonzoon, Schwiegersohn
de opa, Opa
de zoon, Sohn
de kleinzoon, Enkel
de oma, Oma
de zwager, Schwager
het echtpaar, Ehepaar
de grootouders, Großeltern
het kleinkind, Enkelkind
de schoonouders, Schwiegereltern
de neef, Neffe / Cousin
de schoonzus, Schwägerin
de schoondochter, Schwiegertochter
het gezin, Kernfamilie
de stamboom, Stammbaum
stellen, stellen
bespreken, besprechen
de broers en zussen, Geschwister
belangrijk, wichtig
helemaal niet, überhaupt niecht
best wel, einigermaßen
heel erg, sehr
niet erg, nicht besonders
de kleur, Farbe
rood, rot
geel, gelb
groen, grün
zwart, schwarz
oranje, orange
wit, weiß
bruin, braun
de ketting, Kette
de hond, Hund
de tulp, Tulpe
de tekening, Abbildung / Zeichnung
het complimentje / complimentjes geven, Kompliment / Komplimente machen
vanavond, heute Abend
de monarchie, Monarchie
van deze tijd, zeitgemäß
de tussenstop, Zwischenhalt
de schaar, Schere
de laptop, Laptop
de lamp, Lampe
het schrijfblok, Block
het potlood, Bleistift
het plakband, Klebeband
de agenda, Terminkalender
de perforator, Locher
het bureau, Schreibtisch
de werkdag, Arbeitstag
de advertentie, Anzeige
de dinsdagochtend, Dienstagmorgen
de rondvaart, Rundfahrt
het museum, Museum
bezoeken, besuchen
de stadswandeling, Stadtspaziergang
lunchen, zu Mittag essen
de openingstijden, Öffnungszeiten
dagelijks, täglich
de toegangsprijs, Eintrittspreis
de volwassene, Erwachsener
gratis, kostenlos
museumkaart, Rabattkarte für Museen
gevestigd zijn, niedergelassen sein
het zevental, sieben
verbonden, verbunden
historisch, historisch
het pand, Gebäude
het centrum, Zentrum
de zaal, Saal
overdag, tagsüber
te huur, zu vermieten
de vergadering, Versammlung
het congres, Kongress
audiovisueel, audiovisuell
de presentatie, Präsentation
de vertoning, Vorführung
de videoproductie, Videoproduktion
terechtkunnen, Zutritt haben
de lunch, Mittagessen
uitgebreid, ausgedehnt
dineren, speisen
de vertrektijd, Abfahrtszeit
de aankomsttijd, Ankunftszeit
heel, ganz
door, durch
boeken, buchen
worden, werden
enig, einzig / einzigartig
de uitzondering, Ausnahme
vormen, bilden
het ijs, Eis
extreem, extrem
de weersomstandigheden(Plural), Witterungsverhältnisse
de tocht, Fahrt
onmogelijk, unmöglich
hieronder, hierunter
exact, genau
op afspraak, nach Absprache
de minuut, Minute
het vertrek, Abfahrt
inschepen, einschiffen
de wijziging, Änderung
voorbehouden, vorbehalten
de groep, Gruppe
reserveren, reservieren
het restaurant, Restaurant
tafelen, tafeln
culinair, kulinarisch 
