verwennen, verwöhnen
beleven, erleben
perfect, perfekt
de avond, Abend
prettig, angenehm
de sfeer, Atmosphäre
de wens, Wunsch
overlaten, übrig lassen
de keuken, Küche
geopend, geöffnet
het liedje, Lied
het avontuur, Abenteuer
mijnheer, (mein) Herr
de kapel, Kapelle
het land, Land
de maat, Maß / Größe
voorheen, ehedem
versturen, verschicken
getrouw, (ge)treu
het heelal, All
de tennisbal, Tennisball
deftig, vornehm
vliegen, fliegen
meten, messen
huren, mieten
de millimeter, Millimeter
de zee, Meer
helpen, helfen
sinds, seit
vlakbij, in der Nähe
straks, demnächst / nachher
ver, weit
weg, weg
genoeg, genug
over, über
mezelf, mich ( selbst )
jezelf, dich ( selbst )
mailen, e-mailen
verbeteren, verbessern
andersom, andersherum
chatten, chatten
de uitspraak, Aussprache
de tijd, Zeit
om, um
opkomen, aufkommen / einfallen
het leven, Leben
het meubel / de meubels, Möbelstück / Möbel
de mogelijkheid, Möglichkeit
de eettafel, Esstisch
de luie stoel, Sessel
de bank, Sofa
de klerenkast, Kleiderschrank
de spiegel, Spiegel
het gordijn, Gardine
het bed, Bett
de ladekast, Kommode
het aanrecht, Anrichte
de plank, Wandregal
het nachtkastje, Nachttisch
de kapstok, Garderobe
de kruk, Hocker
de boekenkast, Bücherregal
de gang, Flur
de woonkamer, Wohnzimmer
de slaapkamer, Schlafzimmer
de kinderkamer, Kinderzimmer
de studeerkamer, Arbeitszimmer
de badkamer, Badezimmer
het balkon, Balkon
drunk, geschäftig
onderstaand, nachstehend
meteen, gleich
poetsen, putzen
de tand, Zahn
onbijten, frühstücken
opmaken, machen ( Bett )
fietsen, Rad fahren
vergaderen, eine Versammlung abhalten
boodschappen doen, Einkäufe erledigen
koken, kochen
de pasta, Pasta / Nudeln
nooit, nie
het ontbijt, Frühstück
gebruiken, verwenden
de studie, Studium
vrij, frei
de vrije tijd, Freizeit
kort, kurz
de tekst, Text
gewoon, normal / einfach
gebruikmaken van, verwenden
ongeveer, ungefähr
tegen, gegen
na, nach
het avondeten, Abendessen
tenslotte, schließlich
het schema, Schema
gisteren, gestern
anders, anders
zich verslapen, verschlafen
pas, erst
vervolgens, dann
douchen, duschen
de krant, Zeitung
de klus, kleinere Aufgabe
eergisteren, vorgestern
afmaken, erledigen / zu Ende bringen
het aantal, Anzahl
de afdeling, Abteilung
het tijdie, Weilchen
het terras / terrasje, Terrasse / Freisitz
het project, Projekt
de poes, Katze
aaien, streicheln
schoonmaken, sauber machen
houden van, lieben / mögen
afstoffen, abstauben
de was doen, Wäsche waschen
lekker, lecker / herrlich
de wijn, Wein
sexy, sexy
het fokschaap, Zuschtschaf
