baden, baden
proeven, kosten / probieren
reizen, reisen
samengesteld, zusammengesetzt
bovenstaand, oben stehend
de regel, Regel
kopen, kaufen
verhuizen, umziehen
studeren, studieren
de verjaardag, Geburtstag
rijden, fahren / reiten
rondrijden, umherfahren
de waterkoker, Wasserkocher
de föhn, Föhn
de mixer, MIxer
de wekker, Wecker
de broodrooster, Toaster
de wasmachine, Waschmaschine
de stofzuiger, Staubsauger
de stereo, Stereoanlage
de koelkast, Kühlschrank
het strijkijzer, Bügeleisen
het apparaat, Apparat
de kleren ( Plural ), Kleidung
gladmaken, glätten
de machine, Maschine
verhitten, erhitzen
de kast, Schrank
bewaren, aufbewahren
zodat, sodass
goed, frisch
blijven, bleiben
elektrisch, elektrisch
het stof, Staub
het ding / het dingetje, Sache / Ding / Teilchen
de vloer, Fußboden
verwijderen, entfernen
drogen, trocknen
verschillend, verschieden
het bestanddeel, Bestandteil
mengen, vermischen
bijvoorbeeld ( bijv. ), zum Beispiel
de cassette, Kassette
laten horen, abspielen / vorspielen
het sneetje, Scheibe
het brood, Brot
knapperig, knusprig
de klok, Uhr
van tevoren, im Voraus / vorher
instellen, einstellen
het geluid, Geräusch
wakker, wach
het fornuis, Herd
het koffiezetapparaat, Kaffeemaschine
de vaatwasser, Spülmaschine
de televisie / de tv, Fernseher / Fernsehen
de buitenkant, Außenseite
indrukwekkend, eindrucksvoll
buiten, draußen
de rondleiding, Führung
rondleiden, herumführen
fris, frisch
liever, lieber
zetten, kochen ( Kaffee)
licht, hell
ruim, geräumig
hê, Interjektion
vorig, vorig
de bewoner, Bewohner
het gas / op gas, Gas / mit Gas
heerlijk, herrlich
prachtig, wunderbar / prächtig / wunderschön
geweldig, großartig
donker, dunkel
waarschijnlijk, wahrscheinlich
inderdaad, allerdings / tatsächlich
de dame, Dame
achter, hinter
de computer, Computer
de kamer, Zimmer
vast, vbestimmt
modern, modern
de pad, Pad
af en toe, ab und zu
meestal, meistens
de cursist, Kursteilnehmer
de folder / de reclamfolder, Prospekt
met behulp van, mit Hilfe
het gat, Lücke
opruimen, ausverkaufen
de koekenpan, Bratpfanne
de kookpan, Kochtopf
het voorraadblik, Vorratsdose
de ovenschaal, Auflaufform
de keukenhulp, Küchenhilfe
divers, divers
de soort, Sorte
de theedoek, Geschirrtuch
de kookwekker, Kurzzeitwecker
zolang, solange
de voorraad, Vorrat
strekken, reichen
de kandelaar, Kerzenständer
het theelichtje, Teelicht
de kussenovertrek, Kissenbezug
het bierfluitje, Bierglas
het ontbijtbord, Frühstücksteller
de bestekset, Besteckset
Berlijn, Berlin
kosten, kosten
krijgen, bekommen
het huishouden doen, den Haushalt führen
nakijken, nachsehen / korrigieren
de fout, Fehler
de hulp, Hilfe
