de samenvatting, Zusammenfassung
de lijst, Liste
alle, alle
nodig hebben, benötigen
de flat, Wohnung
de begane grond, Erdgeschoss
het flatgebouw, Etagenhaus
het toilet, Toilette
de tuin, Garten
het tweepersoonsbed, Doppelbett
inrichten, einrichten
de woning, Wohnung
aangeven, angeben
de plattegrond, Grundriss
neerzetten, hinstellen / hinlegen
waarheen, wohin
raar, merkwürdig / komisch
de parkeerplaats, Parkplatz
het radioprogramma, Radioprogramm
de dierentuin, Zoo
uit eten, essen gehen
de wielerwedstrijd, Radrennen
de tentoonstelling, Ausstellung
tuinieren, gärtnern
de bioscoop, Kino
de omloop, Rundfahrt
de kilometer (km), Kilometer
de finish, Ziel
het eiland, Insel
de rol / de hoofdrol, Rolle / Hauptrolle
exotisch, exotisch
het dier, Tier
openen, öffnen
de deur, Tür
de workshop, Workshop
snoeien, beschneiden
aanmelden, anmelden
plaatsvinden, stattfinden
de vestiging, Filiale
gouden, golden
het portret, Porträt
het gebouw, Gebäude
het evenement, Veranstaltung
deelnemen, teilnehmen
het koffiekopje, Kaffeetasse
het cadeau, Geschenk
noemen, nennen
indereen, jeder
roepen, rufen
tegelijkertijd, gleichzeitig
aan de beurt zijn, an der Reihe sein
knutselen, basteln
zwemmen, schwimmen
skieên, Ski fahren
klussen, kleine Arbeiten erledigen
schilderen, malen / anstreichen
fotograferen, fotografieren
computeren, am Computer arbeiten / spielen
tenissen, Tennis spielen
de kroeg, Kneipe
dansen, tanzen
voetballen, Fußball spielen
kaarten, Karten spielen
hardlopen, joggen / rennen
pianospelen, Klavier spielen
puzzelen, rätseln
wandelen, wandern / spazieren gehen
relaxen, relaxen
schaken, Schach spielen
schaatsen, Schlittschuh laufen
de activiteit, Aktiviät
de tennisclub / op de tennisclup, Tennisclub / im Tennisclub
in zijn eentje, allein
de kattenbak, Katzentoilette
hoezo, wieso
spelen, spielen
toch, doch
het potje, Partie
het tennis, Tennis
niet uitmaken, egal sein
zullen, wollen / sollen
de baan, Bahn / Platz
regenen, regnen
Nee toch!, Ach nein!
bijna, beinah
het weer, Wetter
de omgeving, Umgebung
pakken, nehmen
met zijn allen, alle zusammen
ontzettend, ungeheuer
het bos, Wald
hollen, rennen
fantastisch, fantastisch
de zon, Sonne
waar ... naartoe, wohin
het buurthuis, Nachbarschaftszentrum
meegaan, mitgehen
lijken, scheinen / erscheinen
uitlaten, ausführen
het voorstel, Vorschlag
schijnen, scheinen
verdorie, verdammt
het geld, Geld
zoenen, küssen
ruziên, sich streiten
het verkleinwoord
de brug, Brücke
de schoen, Schuh
