de bal, Ball
de paraplu, Regenschirm
het blad, Blatt
het schip, Schiff
het sprookje, Märchen
de koek, Kuchen
het koekje, Keks
het ijsje, Speiseeis
de hoorn, Horn
ht spreekwoord, Sprichwort
het gezegde, Redewendung
de aap, Affe
de mouw, Ärmel
de kat, Katze
de kip, Huhn
verkeerd, falsch
het paard, Pferd
wedden, wetten
de vogel, Vogel
de hand, Hand
de lucht, Luft / Himmel
vechten, kämpfen
het been, Knochen
heengaan, weggehen
kiezen, (aus) wählen / sich entscheiden
vandaag, heute
de kans, Chance
dus, also
het kaartje, Eintrittskarte
over, übrig
de ruzie, Streit
de kassa, Kasse
besluiten, beschließen
daarom, darum
verkopen, vrkaufen
de rij, Reihe
het uur, Stunde
bezig, beschäftigt
de hei, Heide
het weerbericht, Wetterbericht
kijken naar, anschauen
midden, mitten
opeens, auf einmal
hard, stark
het lid, Mitglied
de voetbalclub, Fußballverein
de reservebank, Ersatzbank
de wedstrijd, Spiel
het Uitbureau, Ticketshop
het concert, Konzert
de band, Band / Musikgruppe
de opening, Öffnung
uitverkocht, ausverkauft
de meeuw, Möwe
het konijn, Kaninchen
de eend, Ente
de muis, Maus
het schaap, Schaf
de olifant, Elefant
de beer, Bär
het varken, Schwein
de zeehond, Seehund
de geit, Ziege
de duif, Taube
de cavia, Meerschweinchen
de tijger, Tiger
de parkiet, Wellensittisch
het hert, Hirsch
de vis, Fisch
de kreeft, Krebs
de giraf, Giraffe
de rat, Ratte
het wild zwijn, Wildschwein
de mus, Spatz
de gans, Gans
de ree, Reh
het strand / op het strand, Strand / am Strand
de rivier, Fluss
de boerderij, Bauernhof
het weiland, Weide
het hondenweer, Hundewetter
het onweer, Gewitter / Unwetter
de mist, Nebel
de sneeuw, Schnee
de wind, Wind
de wolk, Wolke
de storm, Sturm
de temperatuur, Temperatur
sneeuwen, schneien
bewolkt, bewölkt
waaien, wehen
stormen, stürmen
de graad, Grad
onweren, gewittern
mistig, neblig
het trefwoord, Stichwort
navertellen, nacherzählen
de weersverwachting, Wetterwarnung
minstens, mindestens
de muziek, Musik
de hobby, Hobby
het elfje, Elfchen ( Gedichtform )
de regel, Zeile
afsluiten, abschließen
het onderwijs, Bildung / Unterricht
de opleiding, Ausbildung
de werkervaring, Arbeitserfahrung
het curriculum vitae ( cv ), Lebenslauf
de persoonsgegevens ( Plural ), Personalien
de burgerlijke staat, Familienstand
e hogeschool, Hochschule
de bedrijfseconomie, Betriebswirtschaftslehre
de politieacademie, Polizeischule
het college, Kolleg / Gymnasium
de adviseur, Berater
buitenlands, ausländisch
het krediet, Kredit
