de aankomst, Ankunft
in, in
Nederland, Niederlande
bekijken, ansehen
de foto/de foto's, Foto/Fotos
en, und
luisteren/luisteren naar, hören/anhören
de dialoog/de dialogen, Dialog/Dialoge
waroover, worüber
praten, reden
de mens/de mensen, Mensch/Menschen
welk(-e), welche(-r/ -s)
de zin, satz
horen bij, gehören zu
welkom, willkommen
nemen, nehmen
de koffer, Koffer
hoor, Interjektion
komen, kommen
gaan, gehen
naar huis, nach Hause
leuk, schön/nett
te, zu
leren, lernen
kennen, kennen
Dag!, (Guten) Tag!
allemaal, alle/alles/allerseits
lezen/meelezen, lesen/mitlesen
daarna, danach
hardop, laut
Hé!, He!
de lieverd, Liebling
Hallo!, Hallo!
fijn/wat fijn, toll/wie toll!
weerzien, wiedersehen
Dank je wel., Danke.(informell)
Hoi!, Hi!
zijn, sein
de vriendin, Freundin
van, von
hier, hier
de vakantie, Urlaub
op vakantie, im/in den Urlaub
heten, heißen
waar...vandaan, woher
uit, aus
Zwitserland, Schweiz
wonen, wohnen
de buurt, Nähe
in de buurt van, in der Nähe von
pap, Papa
terug, zurück
heel, sehr
moe, müde
ja, ja
Goedemiddag!, Guten Tag!
meneer, Her(Anrede)
wie, wer
Dank u wel., Danke.(formell)
nog, noch
nog eens, noch einmal
de vraag, Frage
de vragen, Fragen
het antwoord, Antwort
de antwoorden, Antworten
elkaar, einander
bij elkaar, zueinander
waar, wo
hoe, wie
mevrouw, Frau(Anrede)
de cursus, Kurs
lopen, laufen
rondlopen, herumlaufen
beter, besser
het persoonlijk voornaamwoord/ de persoonlijke voornaamwoorden, Personalpronomen
invullen, ausfüllen
juist, richtig
met, mit
de trein, Zug
werken, arbeiten
daar, dort/da
bij, bei
de bank, Bank
maar, aber
vaak, oft
België, Belgien
hebben, haben
de vriend, Freund
zitten, sitzen
tegenover, gegenüber
lang, lang/lange
dan, dann
altijd, immer
slapen, schlafen
