spreken, sprechen
spreken, aussprechen
verdelen, verteilen
de lettergreep, Silbe
de lettergrepen, Silben
de spelling, Rechtschreibung
open, offen
gesloten, geschlossen
nu, jetzt
de tabel, Tabelle
de opdracht, Aufgabe
volledig, vollständig/komplett
onregelmatig, unregelmäßig
kunnen, können
even, mal/gerade/kurz
spellen, buchstabieren
het alfabet, Alphabet
zeggen, sagen
nazeggen, nachsprechen
de voornaam, Vorname
de achternaam, Nachname
de umlaut, Umlaut
de ringel-s, Eszett
dubbel, doppelt
het streepje, Bindestrich
Nederlands, niederländisch
Vlaams, flämisch
de familienaam, Familienname
de familienamen, Familiennamen
het tussenvoegsel, Namenszusatz
de tussenvoegels, Namenszusätze
de naam, Name
bedankt, danke
volgend, folgend
de afkorting, Abkürzung
de afkortingen, Abkürzungen
wat, was
mogen, dürfen
voorstellen, vorstellen
Goedemorgen!, Guten Morgen!
Goedenavond!, Guten Abend!
Doei!, Tschüss!
Tot ziens!, Auf Wiedersehen!
Welterusten!, Gute Nacht!
Slaap lekker!, Schlaf gut!
aanvullen, ergänzen
de collega, Kollege/Kollegin
hartelijk, herzlich
Vlaanderen, Flandern
de medecursist, anderer Kursteilnehmer
de medecursisten, andere Kursteilnehmer
onthouden, merken
alles, alles
op, auf
het rijtje, Reihe
goed, gut/richtig
hartstikke, sehr
Het gaat wel., Es gehtso.
het beetje, bisschen
verkouden, erkältet
het woord, Wort
niet, nicht
betekenen, bedeuten
ziek, krank
vervelend, unangenehm/ärgerlich
toch, trotzdem
naar, nach/zu/in
zo, so
erg, schlimm
binnen, drinnen/innerhalb/herein
prima, prima
uitstekend, hervorragend
het spijt me., Es tut mir leid.
het boek, Buch
liggen, liegen
thuis, zu Hause
best, gut
afhebben, fertig haben
wel, wohl/schon
het huiswerk, Hausaufgaben
beginnen, beginnen
kijken, schauen

